Input Term || Normalized Term || Normalized OBT || True Normalized Term || True Normalized OBT
gastric mucosal-associated lymphoid tissue || stomach || 001792 || lymphatic system part || 000334
gastric mucosal || stomach || 001792 || gastric mucosa || 001577
MALT || animal tissue || 000196 || lymphatic system part || 000334
monoclonal B cells || phagocyte || 000801 || lymphocyte || 001623
gastric MALT || stomach || 001792 || lymphatic system part || 000334
patients with atypical lymphoid infiltrates || elderly person || 003285 || patient || 003220
patients with low-grade MALT lymphoma || elderly person || 003285 || patient || 003220
patients with Helicobacter pylori-chronic active gastritis || elderly person || 003285 || patient with infectious disease || 003269
patients with high-grade primary gastric lymphoma || elderly person || 003285 || patient || 003220
MALT || animal tissue || 000196 || lymphatic system part || 000334
CD20 || nutrient broth || 000360 || lymphocyte || 001623
CD3 || nutrient broth || 000360 || lymphocyte || 001623
MALT || animal tissue || 000196 || lymphatic system part || 000334
patients with chronic active gastritis || elderly person || 003285 || patient || 003220
CD20-positive cells || phagocyte || 000801 || lymphocyte || 001623
lymphocytic || nutrient broth || 000360 || lymphocyte || 001623
B cells || phagocyte || 000801 || lymphocyte || 001623
T cells || phagocyte || 000801 || lymphocyte || 001623
lymphocytic || nutrient broth || 000360 || lymphocyte || 001623
Lymphoepithelial || nutrient broth || 000360 || lymphatic system part || 000334
Lymphoepithelial lesions || Intestinal mucosal lesion || 000471 || lesion || 000332
gastric biopsies || stomach || 001792 || medical sample || 000110
monoclonal B cells || phagocyte || 000801 || lymphocyte || 001623
CD20 || nutrient broth || 000360 || lymphocyte || 001623
CD3 || nutrient broth || 000360 || lymphocyte || 001623
gastric MALT || stomach || 001792 || lymphatic system part || 000334
chicken nugget processing plant || plant || 000393 || meat industry || 002129
chicken || chicken || 003314 || chicken meat || 002394
chicken nugget || chicken meat || 002394 || prepared meat || 001265
food handlers || food for human || 000094 || worker || 003311
food || food || 000008 || food for human || 000094
chicken || chicken || 003314 || chicken meat || 002394
chicken nugget || chicken meat || 002394 || prepared meat || 001265
chicken nugget processing plant || plant || 000393 || meat industry || 002129
selective agars || nutrient broth || 000360 || agar || 000031
PALCAM || nutrient broth || 000360 || agar || 000031
LPM || nutrient broth || 000360 || agar || 000031
HCLA || nutrient broth || 000360 || agar || 000031
food handler || food for human || 000094 || worker || 003311
food || food || 000008 || food for human || 000094
food || food || 000008 || food for human || 000094
food handlers || food for human || 000094 || worker || 003311
H. pylori-positive subjects || immunodeficient person || 003206 || patient with infectious disease || 003269
H. pylori-negative subjects || immunodeficient person || 003206 || healthy person || 002712
H. pylori-infected monkeys || microflora || 000113 || animal with disease || 000491
control monkeys || cheese || 001480 || monkey || 003107
patients with chronic gastritis || elderly person || 003285 || patient || 003220
patients with gastric cancer || elderly person || 003285 || patient || 003220
young Japanese gastric cancer patients || elderly person || 003285 || child || 003188
control group || cheese || 001480 || child || 003188
young Japanese people || patient with infectious disease || 003269 || child || 003188
gastroenteritis patients || elderly person || 003285 || patient with infectious disease || 003269
fish samples || fish meat and fish meat product || 001549 || fish || 002793
Human || nutrient broth || 000360 || human || 002488
human || human || 002488 || patient with infectious disease || 003269
patients suffering from rickettsial disease of different degrees of severity || elderly person || 003285 || patient with infectious disease || 003269
humans || human || 002488 || patient with infectious disease || 003269
Culex pipiens molestus || nutrient broth || 000360 || mosquito || 002142
culicine mosquito || nutrient broth || 000360 || mosquito || 002142
paediatric cystic fibrosis units || nutrient broth || 000360 || hospital environment || 000097
paediatric || nutrient broth || 000360 || child || 003188
adult cystic fibrosis units || adult human || 003245 || hospital environment || 000097
cystic fibrosis (CF) units || nutrient broth || 000360 || hospital environment || 000097
Sputum || nutrient broth || 000360 || sputum || 001335
productive patients || elderly person || 003285 || patient || 003220
regional adult CF units || adult human || 003245 || hospital environment || 000097
regional paediatric CF units || nutrient broth || 000360 || hospital environment || 000097
paediatric || nutrient broth || 000360 || child || 003188
dyspeptic patients || elderly person || 003285 || patient || 003220
patients with chronic dyspepsia || elderly person || 003285 || patient || 003220
Gastric biopsies || stomach || 001792 || medical sample || 000110
Patients with H. pylori infection || patient || 003220 || patient with infectious disease || 003269
dyspeptic patients || elderly person || 003285 || patient || 003220
neonatal || nutrient broth || 000360 || newborn infant || 003453
humans || human || 002488 || pregnant woman || 003493
animals || animal || 000193 || female animal || 001103
placenta of a 38-year-old secondary recurrent aborter || experimental medium || 000007 || placenta || 000811
38-year-old secondary recurrent aborter || experimental medium || 000007 || pregnant woman || 003493
study population || nutrient broth || 000360 || child || 003188
age-matched healthy controls || healthy person || 002712 || child || 003188
children less than two years of age || child || 003188 || ill person || 003156
older children || child || 003188 || ill person || 003156
Children attending the hospitals || hospital || 002714 || patient with infectious disease || 003269
mucous || nutrient broth || 000360 || mucus || 001220
stools || nutrient broth || 000360 || feces || 001102
piped water || water || 000468 || drinking water || 001530
fresh water || water || 000468 || freshwater || 002455
fresh water supply || water || 000468 || drinking water supply || 001082
unhygienic septic tank || nutrient broth || 000360 || septic tank || 003116
Adoratopsylla antiquorum antiquorum || nutrient broth || 000360 || flea || 002034
Ctenocephalides felis felis || nutrient broth || 000360 || flea || 002034
Polygenis atopus || nutrient broth || 000360 || flea || 002034
Polygenis rimatus || nutrient broth || 000360 || flea || 002034
Polygenis roberti roberti || nutrient broth || 000360 || flea || 002034
Polygenis tripus || nutrient broth || 000360 || flea || 002034
Rhopalopsyllus lugubris || nutrient broth || 000360 || flea || 002034
Rhopalopsyllus lutzi lutzi || nutrient broth || 000360 || flea || 002034
Amblyomma aureolatum || nutrient broth || 000360 || tick || 001821
Amblyomma cajennense || nutrient broth || 000360 || tick || 001821
Amblyomma dubitatum || nutrient broth || 000360 || tick || 001821
Ixodes loricatus || nutrient broth || 000360 || tick || 001821
Rhipicephalus sanguineus || nutrient broth || 000360 || brown dog tick || 002693
animal blood || animal blood || 001863 || blood || 000521
animal sera || animal || 000193 || experimental medium || 000007
human sera || human || 002488 || blood serum || 000524
opossum sera || nutrient broth || 000360 || blood serum || 000524
dog sera || nutrient broth || 000360 || blood serum || 000524
horse sera || nutrient broth || 000360 || blood serum || 000524
human sera || human || 002488 || experimental medium || 000007
sera || nutrient broth || 000360 || blood serum || 000524
opossum sera || nutrient broth || 000360 || blood serum || 000524
dog sera || nutrient broth || 000360 || experimental medium || 000007
horse sera || nutrient broth || 000360 || blood serum || 000524
LTQ Orbitrap high-resolution mass spectrometer || nutrient broth || 000360 || laboratory equipment || 000103
mixtures of pure compounds and uniformly 13C-labeled cell extracts || cell || 000061 || experimental medium || 000007
LTQ Obitrap || nutrient broth || 000360 || laboratory equipment || 000103
monocyte-like THP-1 cells || phagocyte || 000801 || cell culture || 000062
human monocyte-like THP-1 cells || cell || 000061 || cell culture || 000062
monocyte-like THP-1 cells || phagocyte || 000801 || monocyte || 003001
monocyte-like THP-1 cells || phagocyte || 000801 || cell culture || 000062
monocyte-like THP-1 cells || phagocyte || 000801 || monocyte || 003001
infected monocytes || glial cell || 000647 || monocyte || 003001
monocyte-like THP-1 cells || phagocyte || 000801 || monocyte || 003001
Bile || nutrient broth || 000360 || bile || 000514
Bile || nutrient broth || 000360 || bile || 000514
Perdix perdix || nutrient broth || 000360 || partridge || 003066
commercially reared partridges || nutrient broth || 000360 || livestock || 002726
Perdix perdix || nutrient broth || 000360 || partridge || 003066
